NAME,CATEGORY,ADDRESS,LAT,LNG,ID
Tortona 32,General Entertainment,Via Tortona 32,45.45279932,9.165502011,4c10a781b93cc9b68f1157e0
Food Experience Mondadori,General Entertainment,Via TORTONA 15,45.45293896,9.167421126,51658db6e4b04d92cb664989
Officina Creativa Ansaldo,General Entertainment,,45.45224613,9.163683016,4fdb61b6e4b034b3a94252db
Superstudio13,Art Gallery,Via Forcella 13,45.45193671,9.167664689,4cd497a2b2a437047e727844
MACS - Mazda Contemporary Space,General Entertainment,"Via Forcella, 3",45.45284,9.166345,51669cb7e4b02c1af1a6bbd0
Philips simply@home - Spazio Galvanotecnica Bugatti,General Entertainment,Via Gaspare Bugatti 7,45.452,9.167111,4d91da66521760fc7b401593
L'attico Live,Nightclub,Via Tortona 21,45.452811,9.166426,531262c2498e6faeaccc8554
Established & Sons,Strip Club,Teatro versace,45.45370186,9.163113319,4da775c243a12d0c263a168a
Lavazza,General Entertainment,,45.453887,9.163067,516575aae4b0fd02d2a62cd2
MINI Paceman Garage,General Entertainment,Via Tortona 20,45.45332298,9.166607389,5162fd42e4b02525e1d4e111
"Ciclotte ""The Round Experience""",General Entertainment,Via Forcella 13,45.451757,9.167418,5165420fe4b003192e7b5730
Heineken The Club,Nightclub,,45.45243516,9.166656199,4f8dc327e4b05cdaa129b532
Stefy Agenzy,General Entertainment,Via Savona,45.454613,9.166409,4f846acfe4b03e850be200d5
Food&design,General Entertainment,,45.45340469,9.167243669,51655da1e4b06f9467d611d1
We Love Glasses,Lounge,,45.453851,9.165369,4da9deab0cb6a89c6260afd1
Fuoribalcone,Music Venue,,45.45503687,9.166870925,4da9e9146a2303012f014fbe
The iron factory occupied by crazy people,General Entertainment,Via Savona 18,45.455609,9.167468,4c2b95dc2219c928f7d5a448
UnlockMI,General Entertainment,,45.460105,9.16678,59c6c9a2237dee656b63d2a5
Passo Carrabile Foppa 7,General Entertainment,Via Vincenzo Foppa 7,45.45877588,9.163809574,4e867444722e3aa906467f0b
San Vittore Pub Restaurant,Other Nightlife,Viale Papiniano 16,45.4601116,9.166110291,4c46219f342c1b8d65b4b589
Sanvittore Ristorante Cocktail Bar & Lounge,Lounge,16,45.46112626,9.164426304,4d1b60ca6526a35d27100f16
Sedici:9,General Entertainment,"Via Coni Zugna, 5",45.460553,9.164848,5281f996498efeef7e76ad54
studio asci,General Entertainment,,45.46477127,9.165491104,4f743497e4b0ae979ec9a1e9
DomenicaAspasso,General Entertainment,,45.46274509,9.163729361,4ec8c077e300719916a17b7e
emettp,Nightclub,Via Carso,45.465636,9.166313,582b45c1bda2d73834bb1b77
Emanuelandia,Nightclub,Casa Mia. Top secreta,45.465604,9.16641,508aa697e4b0c56e748a4876
Banaker,Nightclub,,45.465591,9.16635,506887f6e4b029886573dda2
Pinky's,General Entertainment,,45.46630102,9.163155556,4ee4d3efe5faffd731ff07c6
Caserma CC Montebello,General Entertainment,,45.4748064,9.165328102,4f143283e4b0960d01800e3b
Terrazza ISCM,Nightclub,Largo Quinto Alpini 1,45.47209407,9.166988399,4f6a24a8e4b04b16fd711b90
Largo Quinto Alpini - Milano,Road,,45.4717924,9.166867634,51ee8097498eff58246b8118
Villa Monti,Nightclub,,45.47473193,9.164411437,4e2b3a3518a80bb058572615
Baldini&Castoldi,General Entertainment,via Abbondio Sangiorgio 18,45.475898,9.166195,51f0e014498eeec0f7d4d02c
Don't Movie Factory,Comedy Club,Via Zumbini 6,45.478969,9.163158,4e01c5bdd1647696f12445d2
fotofoto,General Entertainment,,45.48271942,9.164885521,4fac3709e4b017dfa51923ce
Ateneo Moda,General Entertainment,Via Plinio 54,45.48458725,9.166655685,519cc16f498e7d16d022b442
Mobsound Studios,Music Venue,"Via Privata Chieti, 10",45.48492485,9.16356221,4c42b9b8d7fad13a679f09da
Absolut Ice Bar,Nightclub,Piazza Gerusalemme 12,45.484756,9.167604,50300d28e4b04d70beb4e8d7
Harmony Cafe,Lounge,,45.48591839,9.163210393,4fa6b491e4b02443379aebc0
Club Decó,Lounge,San Galdino,45.48646896,9.167426224,5713c772cd102e21f7fba589
Cubo Decò,Lounge,Via San Galdino 5,45.48666879,9.16715448,4bdc6757c79cc928c06086e9
Associazione Culturale Scimmie Nude,Comedy Club,"Piazza Giovanni Perego, 11",45.49036077,9.167886464,4c89e3301107b713f479843a
i tre travoni,Nightclub,via principe eugenio,45.48991976,9.164672204,4e712b2918381bc64b1dfa4b
Teatro Out Off,Theater,"Via Mac Mahon, 16",45.48933625,9.164373515,4bf5803b94b2a593f6aeabee
Overdrive Studio,Concert Hall,Mc Mahon 14,45.48907954,9.164219048,4f2ebaace4b0bd78b825dff0
Spoons Concert Hall,Concert Hall,via cucchiari,45.48928845,9.165669023,4dfef29f88779f08f9972b7f
Music Production,Concert Hall,,45.44782902,9.169848995,4e03bede2271233b767b0f97
Argelab,Jazz Club,Via Argelati 47,45.445841,9.168476,551464ff498e3ea7dd474dde
Indiana Production,General Entertainment,"via Argelati, 33",45.44783857,9.169740482,4c73bbca0e8cbfb7c1840bdb
i-indiana,Office,"Via Argelati, 33",45.44779335,9.169669064,4c73a3d78efc37042ffe157d
Guangmei's,General Entertainment,,45.448328,9.172179,51bc099c498e55ee390150b3
Soul Kitchen,Music Venue,"Via Casale, 7",45.451205,9.171223,4d3a024e0333a093ef4c5034
i Giovedí del Design: Alla Castiglioni,General Entertainment,Via Savona 11,45.45128194,9.17169904,4f187194e4b0f22afda70ae4
Nel Posto Piu Trash Del Mondo,Nightclub,,45.450676,9.171595,5132a82de4b06242f648a567
Medoro,Lounge,,45.451115,9.171509,56fa5735498e8c9d108ffddb
Minimarket Milano,Nightclub,,45.45111649,9.171509228,4f652e3be4b0ce431de070d7
L'HUB textile work shop,General Entertainment,Ripa di porta Ticinese 69,45.45049265,9.169197099,4f23bb2be4b0b653a2d366b7
Circo Delle Pulci,General Entertainment,Piscine Argelati,45.44943972,9.172147898,518f7f1e498e9c894f42f5f7
jUICY,Nightclub,Alzaia Naviglio Grande 54,45.450427,9.171021,51784587e4b0ecd77da3d3c6
Lomi Lounge Bar,Lounge,,45.450727,9.170202,5ad8f6fe178a2a4d6b6c1bdf
WAL studio,General Entertainment,,45.453783,9.170676,57162792cd10e209049a2498
Roll over Beethoven,Nightclub,Via Borsi 9/2,45.45367201,9.168915865,531bb661498ed1a93af497aa
Live Legend,Music Venue,,45.4529096,9.169508429,56c6c671498eb30d80afd004
L'ARTè,General Entertainment,"Bergognone, 7",45.453705,9.169006,4d8f645ed00a6ea898facd4f
Officine,General Entertainment,,45.452551,9.172543,514e085ce4b0eeb9fe3f28e9
Wrapspaces,General Entertainment,,45.453839,9.169124,4f8e9287e4b019b4976bfc30
Laundry,Music Venue,"Via Vigevano, 20",45.45311418,9.172311574,4da4971c7ccc816e163d957b
