NAME,CATEGORY,ADDRESS,LAT,LNG,ID,SCALE,EVENT,TIME_OF_DAY
Melros Production,General Entertainment,Via Paolo Sarpi 21,45.481085,9.17659,4cdbc4d34006a1431865dab2,small,All,"Day, Evening, Night, LateNight"
Radio Kiss Kiss,Radio Station,Via Aleardo Aleardi 14,45.48257734861587,9.173733203807767,4f5770afe4b0720e069e173f,small,"dance, music, acting, magic,comedy","Day, Evening"
L'Aperitivo del Milanese Imbruttito,Nightclub,Via Procaccini 4,45.48269,9.176743,5167241ae4b0b6acd58fd744,small,"dance, music, acting, magic,comedy","Evening, Night"
Accademia del Gioco Dimenticato,General Entertainment,,45.484346,9.17565,52d15fc3498eb608a1b2f073,small,All,"Day, Evening, Night, LateNight"
360 Fx,General Entertainment,via Signorelli 4,45.48184311216355,9.173492135830768,4cda6e3f958f236aedc1a603,small,All,"Day, Evening, Night, LateNight"
Cattedrale Fabbrica Del Vapore,Rock Club,,45.48397073788449,9.175633847597288,4d8d06806174a0932933a7e3,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Il Tram della Cesira,Nightclub,,45.48491668701172,9.17477607727051,50687cf8e4b0058e9da242a9,small,"dance, music, acting, magic,comedy","Evening, Night"
Byblos Milano,Nightclub,"via Messina, 38",45.486269186448986,9.173948138383949,505b653ce4b04971505b25d6,small,"dance, music, acting, magic,comedy","Evening, Night"
B38 Club Milano,Nightclub,Via Messina 38,45.48622623750346,9.173828549307357,59f470b581635b6a63c4191c,small,"dance, music, acting, magic,comedy","Evening, Night"
Tempio Del Futuro Perduto,Cultural Center,Via Luigi Nono 9,45.486494,9.174853,5b2d84a5b6eedb002cf6c74f,large,All,"Day, Evening"
RAM Studios,General Entertainment,Via Luigi Nono 7,45.485344431520424,9.175956054496927,4f218ab0e4b0e2de57dcf539,small,All,"Day, Evening, Night, LateNight"
Evasion Escape Room,General Entertainment,"via Principe Eugenio, 22",45.49001964289591,9.174030248532663,56100960498ebe207b01767c,small,All,"Day, Evening, Night, LateNight"
Dogana Di Milano,Concert Hall,,45.49404905930757,9.177543328830026,559ab18d498ef5a274e88271,large,All,"Day, Evening"
Halloween Party,General Entertainment,"Via Francesco Brioschi, 43",45.443293,9.1811902,4ccde48c063a721e3951979a,small,All,"Day, Evening, Night, LateNight"
la segheria,General Entertainment,Via Meda 24,45.444244384765625,9.17873764038086,516d9aabe4b0d2a1839d241b,small,All,"Day, Evening, Night, LateNight"
Spazio Ctas,Theater,via pomponazzi,45.441961,9.181324,4dc6e49ab0fb5556cd14e782,large,All,"Day, Evening"
Casa del popolo elettronico,Concert Hall,Via tibaldi,45.4443,9.18086,54d206e1498ec1d9d318b2bd,large,All,"Day, Evening"
Teatro Caravaggio,Theater,,45.44390087265475,9.17985551089281,4e0cdad1d4c07c82a2e06c41,large,All,"Day, Evening"
Spazio Eventi la Segheria,Music Venue,via Meda 24,45.443063149939604,9.178897388883687,4ddaa7e87d8b3226643b84b7,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
La Fabbrica dell'Esperienza,Theater,Via Francesco Brioschi 60,45.441643970971626,9.181580564442697,52ab22b1498e500541a58dc8,large,All,"Day, Evening"
Utopiabāā,Theater,"via Pietro Pomponazzi, 21",45.442142,9.181169,4feb5a6de4b061f7e61dbcd7,large,All,"Day, Evening"
Transito,General Entertainment,Via Pomponazzi 1,45.44156,9.179441,507c66d3e4b0abb0a087c14b,small,All,"Day, Evening, Night, LateNight"
Auditorium di Milano,Performing Arts Venue,Largo Mahler,45.44641956806788,9.179187135864941,4b058881f964a52048ca22e3,large,All,"Day, Evening, Night, LateNight"
CHE studio,Concert Hall,Via Brioschi 24,45.445872,9.180294,510bb3ebe4b01d3ae2438a86,large,All,"Day, Evening"
Rainbow Kids,General Entertainment,,45.447614,9.178723,58637742e386e329a4ba6f65,small,All,"Day, Evening, Night, LateNight"
Marcello Happy B Day Party,General Entertainment,,45.445109,9.181824,4fe8d1f9e4b0f742f957d244,small,All,"Day, Evening, Night, LateNight"
The Beaver Brothers,Nightclub,Corso San Gottardo 42,45.447927102498,9.17921930551529,51309b1de4b0a08cc4156805,small,"dance, music, acting, magic,comedy","Evening, Night"
Boteco Brasileiro,Lounge,"Via Ascanio Sforza, 31",45.449242,9.177497,5782d44c498eb82e0f99117b,small,"dance, music, acting, magic,comedy","Evening, Night"
Baby Farm,General Entertainment,,45.449643,9.17938,5884c93c4bafb72b41512d4e,small,All,"Day, Evening, Night, LateNight"
Teatro Cinque,Theater,"Via Cardinale Ascanio Sforza, Milano",45.44866996686411,9.177526526999598,4f942181e4b015eb3e22932f,large,All,"Day, Evening"
DCS IHQ,General Entertainment,,45.450819,9.180252,523d38b611d26840a95d6904,small,All,"Day, Evening, Night, LateNight"
Brasil Samba Music,Music Venue,4 Via Emilio Gola,45.44873468032609,9.177529837829052,4b05887af964a5203fc822e3,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
villa rahnema,General Entertainment,,45.44958364604114,9.177634266382494,4ffc97dbe4b0be81cf57d83f,small,All,"Day, Evening, Night, LateNight"
Centro Studio Attori,Theater,Via Ascanio Sforza,45.448666,9.177681,4ec2b87bb8f7a3b7f9664245,large,All,"Day, Evening"
#cookebook,General Entertainment,Alzaia Naviglio Pavese 16,45.44997942550607,9.17742450380588,528df010498ea4889bda4238,small,All,"Day, Evening, Night, LateNight"
Corso San Gottardo 15,General Entertainment,,45.450541501030095,9.18025120291015,51717191e4b0128d43fc6c37,small,All,"Day, Evening, Night, LateNight"
Stardust Factory,Music Venue,Corso di Porta Ticinese,45.45456166780915,9.180525541305542,4eb33082a17cab6127e27d31,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Carosello - Spot Conad,General Entertainment,Piazza Sant'Eustorgio,45.453733,9.180695,51803acb498e6399de5b9297,small,All,"Day, Evening, Night, LateNight"
What Women Drink,General Entertainment,,45.454588,9.180595,505a0fd2e4b09176b44e75cf,small,All,"Day, Evening, Night, LateNight"
Coppa Cobram: l'inizio.,General Entertainment,,45.45240020751953,9.180150985717773,50558d37e4b09a662dd60614,small,All,"Day, Evening, Night, LateNight"
PianoLink,Concert Hall,,45.45209,9.181939,5713ab15cd103d0071d00c98,large,All,"Day, Evening"
Il Ricovero Delle Anime,Lounge,,45.45160543894912,9.180731869320171,4f4e7c4be4b0577d8200ea0c,small,"dance, music, acting, magic,comedy","Evening, Night"
The Impossible Society,General Entertainment,Corso Porta Ticinese 107,45.453958,9.180462,56771063498e5b59aac9e935,small,All,"Day, Evening, Night, LateNight"
stradina di st. eustorgio,Music Venue,piazza sant'eustorgio,45.453252127403125,9.1810941696167,4f744fb97716f0913c32c01b,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
iNStradaMI,General Entertainment,via Corsico,45.45280075073242,9.180546760559082,52627bd411d2f438d7290d5f,small,All,"Day, Evening, Night, LateNight"
Bridge Milano,General Entertainment,,45.457728,9.179081,51e2ce8c498e129a746cdd91,small,All,"Day, Evening, Night, LateNight"
Ralph's,Cocktail Bar,Via De Amicis 4,45.457877131392976,9.180914559835625,5176c888e4b0d40cc5610f9a,small,"dance, music, acting, magic,comedy","Evening, Night"
Coquetail,Lounge,,45.456402,9.180796,4c9bb29a9975a143eb8d2bcf,small,"dance, music, acting, magic,comedy","Evening, Night"
Orchestra Sinfonica di Milano Giuseppe Verdi,Opera House,Largo Gustav Mahler,45.457091517793735,9.180868086641373,559dab0b498e78a87b59f130,large,All,"Day, Evening"
Silent Disco,Nightclub,,45.45766,9.181284,5234f061498eda22b043c862,small,"dance, music, acting, magic,comedy","Evening, Night"
Tube Club,Nightclub,Corso di Porta Ticinese 30,45.457973,9.180626,5914a016dd70c523e616d42f,small,"dance, music, acting, magic,comedy","Evening, Night"
Casio G-Shock Beat Event,General Entertainment,,45.456393,9.18073,5170104be4b092fc77ac66eb,small,All,"Day, Evening, Night, LateNight"
Teatro Vetra,Music Venue,,45.457047931737,9.1811780100918,56dbde62498e53f5ff92e7dd,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Mono Studio,Music Venue,,45.456538954378324,9.180700028365484,4ca1e53e46978cfafeacbf7f,small,"Musical Theatre, Music","Day, Evening, Night, LateNight"
Via Arena,General Entertainment,Via Arena,45.4550349606864,9.178142817625414,4cefbce57b943704dca73453,small,All,"Day, Evening, Night, LateNight"
Blackout Club Milano,Nightclub,32 Corso di Porta Ticinese,45.458257,9.181057,5bda89a36adbf5002c166861,small,"dance, music, acting, magic,comedy","Evening, Night"
Via Circo 12!,Lounge,,45.4602307,9.1786257,4f95463be4b04c0ca05b4ead,small,"dance, music, acting, magic,comedy","Evening, Night"
Teatro Alle Colonne,Theater,Corso di Porta Ticinese 45,45.45813353499102,9.181432072513749,4d42ac7c90f388bf84254c01,large,All,"Day, Evening"
Il Teatro,General Entertainment,,45.459540126101416,9.180227134351126,4fe57d58e4b0b901afb33c66,small,All,"Day, Evening, Night, LateNight"
Archivio Teatro alla Scala,General Entertainment,,45.460679,9.181993,53a058fc498efdb7c04588c3,small,All,"Day, Evening, Night, LateNight"
Teatro Arsenale,Theater,via Correnti 9,45.45945364684453,9.17993180614841,4c499eb09e3e2d7f89870349,large,All,"Day, Evening"
L' Espace Privé,General Entertainment,Via Del Torchio,45.460474055369446,9.18104315663948,4ee54e3129c220f9728dd7c7,small,All,"Day, Evening, Night, LateNight"
Philipp Plein Casino,Nightclub,,45.45894075554256,9.179742701053323,51c624a0498e32a317388e3b,small,"dance, music, acting, magic,comedy","Evening, Night"
Prina - scuola di musica,General Entertainment,,45.459539,9.181284,5261682f11d256bb9ddb5cac,small,All,"Day, Evening, Night, LateNight"
Scottadito,Lounge,Corso Di Port Ticinese 32,45.458201,9.180956,563e7b9ccd100389c08da7a4,small,"dance, music, acting, magic,comedy","Evening, Night"
HFFA,General Entertainment,,45.461984,9.181866,5076f21ee4b0214d6503d555,small,All,"Day, Evening, Night, LateNight"
Insolito Cinema,General Entertainment,,45.463566,9.179164,51e59563498eef8b5554a3d5,small,All,"Day, Evening, Night, LateNight"
Funlab Workshop,General Entertainment,"Via Gorani, 5 (Cordusio)",45.4645402699803,9.181362390518187,5237ac1b8bbdddd1d132f344,small,All,"Day, Evening, Night, LateNight"
Teatro Litta,Theater,24 Corso Magenta,45.4660034736655,9.177762327176211,4b058880f964a5200eca22e3,large,All,"Day, Evening"
Sala Cavallerizza (teatro Litta),Theater,,45.4656065876566,9.177963877879813,4df513026284fefe8fc7ed35,large,All,"Day, Evening"
Teatro Dal Verme,Theater,"Via San Giovanni sul Muro, 2",45.467104994089404,9.181457550687124,4b058881f964a52082ca22e3,large,All,"Day, Evening"
spazio cairoli,General Entertainment,,45.466335,9.181955,542bb737498e649a567c0cd5,small,All,"Day, Evening, Night, LateNight"
Claustrophobia Milano,General Entertainment,,45.46793,9.178616,56db0d8bcd103f495eb6f007,small,All,"Day, Evening, Night, LateNight"
Forum ANES,Theater,Corso Magenta 24,45.466623,9.1776,4e9e871129c244b4ef236716,large,All,"Day, Evening"
Revolution Dept,General Entertainment,Corso Magenta 7,45.465499,9.179741,5579b55a498e37ac9110975d,small,All,"Day, Evening, Night, LateNight"
whatsapp ina bak,Comedy Club,,45.47003936767578,9.179305076599121,5478a423498e40507020b261,small,Comedy,"Evening, Night"
Babbo Running,General Entertainment,Piazza Castello,45.469360589715954,9.181684699165192,4eeda51be5faa560f172e556,small,All,"Day, Evening, Night, LateNight"
Deejayten Village,General Entertainment,,45.47130103891951,9.177889939484546,52591462498e7ef37dca3d18,small,All,"Day, Evening, Night, LateNight"
"Caccia Al Tesoro "" Scopri Milano Vinci La Spesa""",General Entertainment,Via Beltrami,45.468672,9.181866,50790fa7e4b0c31686e141f6,small,All,"Day, Evening, Night, LateNight"
